id,environment,group,name
https://minmod.isi.edu/resource/Q478,Magmatic,Ultramafic and (or) mafic-layered intrusion,U-M layered intrusion nickel- copper-PGE
https://minmod.isi.edu/resource/Q481,Magmatic,Ultramafic and (or) mafic intrusion,U-M intrusion nickel-copper- PGE
https://minmod.isi.edu/resource/Q482,Magmatic,Ultramafic and (or) mafic conduit,U-M conduit nickel-copper- PGE
https://minmod.isi.edu/resource/Q486,Magmatic,Ultramafic and (or) mafic intrusion,Arc U-M intru- sion nickel- copper-PGE
https://minmod.isi.edu/resource/Q488,Magmatic,Anorthosite conduit,Anorthosite conduit nickel- copper-PGE
https://minmod.isi.edu/resource/Q489,Magmatic,Ultramafic and (or) mafic intrusion,Impact U-M intrusion nickel- copper-PGE
