,ms.value,dt_conf.value,dt_s.value,country.value,dtnorm.value,dtnorm_label.value,loc_wkt.value,oms.value
32,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692mth2c7hu1,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.70833 47.78333,-91.79167 47.69694,-91.66667 47.83583)",https://minmod.isi.edu/resource/mrds10096418
33,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692mth2c7hu1,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.70833 47.78333,-91.79167 47.69694,-91.66667 47.83583)",https://minmod.isi.edu/resource/mrds10096418
34,https://minmod.isi.edu/resource/site__benbow__mudd-and-jowitt-2022-nickel__tech-rep-2009-06,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,,
37,https://minmod.isi.edu/resource/site__local-boy__mudd-and-jowitt-2022-nickel__teck-2010,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,,
38,https://minmod.isi.edu/resource/site__crescent-creek__mudd-and-jowitt-2022-nickel__tech-rep-2009-06,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,,
39,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.8 47.733333),
40,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.733333),
41,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.8 47.733333),
42,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.733333),
43,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.8 47.733333),
44,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.733333),
45,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.8 47.733333),
46,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xi5azb8u1,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.733333),
47,https://minmod.isi.edu/resource/site__mouat__mudd-and-jowitt-2022-nickel__tech-rep-2009-06-nev,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-109.9 45.38),https://minmod.isi.edu/resource/mrds10067572
48,https://minmod.isi.edu/resource/site__tamarack-north__mudd-and-jowitt-2022-nickel__aif-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT (-93.11959 46.67296),https://minmod.isi.edu/resource/usminmn00008
49,https://minmod.isi.edu/resource/site__tamarack-north__mudd-and-jowitt-2022-nickel__aif-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT (-93.11959 46.67296),https://minmod.isi.edu/resource/usminmn00008
50,https://minmod.isi.edu/resource/site__funter-bay__mudd-and-jowitt-2022-nickel__szumigala-et-al-2011,1e+00,expert,USA,https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,,
51,https://minmod.isi.edu/resource/site__mirror-harbor__mudd-and-jowitt-2022-nickel__szumigala-et-al-2011,1e+00,expert,USA,https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,POINT (-136.30894 57.78501),https://minmod.isi.edu/resource/mrds10038430
52,https://minmod.isi.edu/resource/site__gap__mudd-and-jowitt-2022-nickel__long-1992,1e+00,expert,USA,https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,,
53,https://minmod.isi.edu/resource/site__maturi-southwest__mudd-and-jowitt-2022-nickel__ar-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.8),https://minmod.isi.edu/resource/mrds10039042
54,https://minmod.isi.edu/resource/site__maturi-southwest__mudd-and-jowitt-2022-nickel__ar-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.8 47.8),https://minmod.isi.edu/resource/mrds10039042
55,https://minmod.isi.edu/resource/site__eagle-eagle-east-usa__mudd-and-jowitt-2022-nickel__resv-resc-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT (-87.88151 46.74852),https://minmod.isi.edu/resource/mrds10400290
56,https://minmod.isi.edu/resource/site__eagle-eagle-east-usa__mudd-and-jowitt-2022-nickel__resv-resc-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT (-87.88151 46.74852),https://minmod.isi.edu/resource/mrds10400290
57,https://minmod.isi.edu/resource/site__eagle-eagle-east-usa__mudd-and-jowitt-2022-nickel__resv-resc-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT (-87.88151 46.74852),https://minmod.isi.edu/resource/mrds10400290
58,https://minmod.isi.edu/resource/site__dunka-pit__mudd-and-jowitt-2022-nickel__miller-et-al-2002-miller-2015,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,,
59,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
60,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
61,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
62,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
63,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
64,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
65,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
66,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1,SME,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
67,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
68,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
69,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
70,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT (-91.708333 47.696944, -91.791667 47.696944, -91.666667 47.836111)",
71,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306925b32tx471,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,"MULTIPOINT(-91.708333 47.696944,-91.791667 47.696944,-91.666667 47.836111)",
